"id","group","drink.sec","food.motivated.sec","groom.sec","move.explore.sec","move.explore...shelter.sec","rest.groom.in.shelter.sec"
1,"fed",45.2,80.64,112.16,3961.52,344,2232.12
2,"fed",196.76,19.48,1736.36,1750.68,156.88,1922.2
3,"fed",15.04,151.08,198.8,5112.24,256.24,849.88
4,"lira_sd",89.04,912.2,415.52,2999.24,91,2252.2
4,"saline_lira",258.72,1851.68,279.64,3009.08,203.88,1264.2
5,"lira_sd",79,467.68,433.44,3714.04,219.96,1754.56
5,"saline_lira",222.4,1007.08,48.4,3294.84,194.6,2049.84
7,"lira_sd",61.16,389.04,602.04,3868.8,499.8,1426.56
7,"saline_lira",221.88,863.64,86.88,2649.36,221.8,2829.24
8,"dan_sd",79.76,409.4,393.92,330.44,70.56,5766.16
8,"lira_sd",85.6,528.12,209.16,1768.16,286.12,3541.68
8,"saline_lira",96.8,818.16,311.8,2165.52,230.4,2875.32
8,"veh_sd",125.64,722.48,374.48,4417.56,176.28,1180.12
9,"fed",115,609.48,75.2,605.72,214.64,5286.36
10,"fed",55.48,281.48,711.56,3692.8,458.12,1415.6
11,"lira_sd",56.32,411.72,308.68,486.4,240.04,5374.28
11,"saline_lira",243.28,558.84,380.72,854.92,282.88,4528.16
12,"fed",59.68,292.28,489.12,1069,365.2,4368.72
13,"fed",18.8,66.56,821.24,3425.04,379.92,1982.32
13,"lira_sd",77.68,716.32,1019.04,3268.12,143.84,1349.84
13,"saline_lira",110,1037.8,95.68,3848.08,107.52,1628.96
20,"LiCl",83.48,327.32,396.36,4173.16,110.6,1818.64
20,"saline_licl",136.28,582.28,138,4803.92,83,1244.52
23,"LiCl",41.4,510.52,42.88,204.36,164.28,6078
23,"fed",39,0.68,197.92,3758.44,147.44,2841.6
23,"saline_licl",73.16,680.2,35.76,5439.32,129.4,564.16
24,"LiCl",123.64,975.52,797.88,1624.56,198.88,3109.32
24,"fed",115.2,718.36,701.2,4283.44,215.44,255.36
24,"saline_licl",71.8,819.76,16.8,1495.6,167.92,4418.92
25,"fed",68.52,602.76,998.48,2410.96,412.68,2102.6
26,"LiCl",66.72,262.44,548.84,377.04,134.84,5657.92
26,"fed",72.8,155.8,300.76,2676.16,192.16,3409
26,"saline_licl",47.56,731.08,37.6,1695.28,272.92,4025.36
27,"LiCl",188.92,466,382.36,4107.36,323.64,1469.4
27,"saline_licl",176.76,592.16,87.4,4891.8,204.8,916.44
69,"dan_sd",36.8,650.96,277.48,2190.56,63.8,3813.16
69,"veh_sd",30.84,1481.76,165.96,3310.76,93.72,1636.92
93,"orfo",120.8,1015.68,1274.56,2522.96,339.84,1030.88
93,"saline_orfo",47.64,860.52,372.52,3952.96,679.12,362.84
96,"orfo",226.84,376.6,192.24,4918.6,105.84,1207.48
96,"saline_orfo",309.6,534.32,125.76,4531.36,121.92,1185.96
253,"dan_sd",183.4,979.44,287.12,3565.56,123.56,1729.24
253,"veh_sd",306.92,1928.48,340.8,1081.92,127.56,3114.72
287,"dan_sd",64.84,517.2,85.28,4233.8,195.84,1853.72
287,"veh_sd",140.88,658.68,17.04,5230.76,135.96,922.88
712,"dan_sd",0.08,764.16,1391.76,1893.56,184.76,2210.88
712,"veh_sd",152.32,621.2,1139.6,3877.84,146.44,472.84
718,"dan_sd",5.76,630.24,103.16,717.96,117.32,5567.16
