id,group,avg_bout_length_sec_drink,avg_bout_length_sec_food motivated,avg_bout_length_sec_groom,avg_bout_length_sec_move/explore,avg_bout_length_sec_move/explore - shelter,avg_bout_length_sec_rest/groom in shelter,max_bout_length_sec_drink,max_bout_length_sec_food motivated,max_bout_length_sec_groom,max_bout_length_sec_move/explore,max_bout_length_sec_move/explore - shelter,max_bout_length_sec_rest/groom in shelter,n_bouts_drink,n_bouts_food motivated,n_bouts_groom,n_bouts_move/explore,n_bouts_move/explore - shelter,n_bouts_rest/groom in shelter
1,dan_hfd_light,0.0,15.085714285714287,0.0,3.72,1.66,109.125,0.0,27.92,0.0,4.6,3.92,1224.16,0.0,7.0,0.0,3.0,20.0,64.0
1,dan_sd_light,0.0,6.815,3.26,5.12,1.696,152.93391304347827,0.0,21.44,4.0,6.96,3.64,996.08,0.0,8.0,2.0,2.0,20.0,46.0
1,fed,3.852,4.43,3.944,32.87827586206897,2.0752542372881355,16.433030303030304,6.4,19.12,9.0,200.96,8.12,210.68,10.0,12.0,20.0,116.0,118.0,132.0
1,veh_hfd_light,5.83,17.515,4.090526315789473,41.72129032258064,1.8727272727272728,75.47876923076923,8.48,88.28,12.16,292.36,5.68,1491.52,4.0,24.0,19.0,31.0,33.0,65.0
1,veh_sd_light,2.84,15.98857142857143,8.015,48.36923076923077,1.731111111111111,148.7541463414634,2.84,52.56,22.52,237.16,4.56,2460.2,1.0,7.0,16.0,13.0,18.0,41.0
2,dan_hfd_light,0.0,18.993846153846153,2.24,8.443636363636363,1.9288888888888889,123.97703703703705,0.0,47.64,2.32,16.64,3.6,1017.0,0.0,13.0,2.0,11.0,18.0,54.0
2,dan_sd_light,0.0,11.4288,3.5533333333333332,6.965714285714285,1.7111111111111112,145.60260869565218,0.0,72.72,5.56,17.2,3.32,1032.48,0.0,25.0,6.0,7.0,18.0,46.0
2,fed,6.466666666666666,4.54,13.796271186440679,10.792058823529413,1.8716666666666666,13.922058823529412,15.56,5.12,267.56,71.24,8.64,417.28,24.0,2.0,118.0,136.0,48.0,136.0
2,veh_hfd_light,2.16,14.12,0.0,34.769523809523804,2.31,51.39675675675676,2.16,82.16,0.0,172.12,9.24,1119.04,1.0,21.0,0.0,21.0,80.0,111.0
2,veh_sd_light,0.0,0.0,4.88,9.2,2.4090322580645163,148.51148936170213,0.0,0.0,4.88,17.96,5.8,1565.04,0.0,0.0,1.0,7.0,31.0,47.0
3,dan_hfd_light,0.0,15.792,0.0,9.727272727272727,1.945,81.0460759493671,0.0,61.96,0.0,30.24,5.4,1049.52,0.0,20.0,0.0,22.0,40.0,79.0
3,dan_sd_light,0.0,45.52,0.0,3.89,1.5345454545454547,150.3031111111111,0.0,144.52,0.0,4.4,3.24,1208.92,0.0,7.0,0.0,4.0,22.0,45.0
3,fed,3.26,12.156363636363638,6.187142857142857,67.25243243243243,1.755,6.123384615384615,4.24,33.08,15.12,335.68,5.64,89.12,4.0,11.0,28.0,74.0,88.0,130.0
3,veh_hfd_light,10.73,19.90153846153846,4.168,10.6375,2.0305454545454547,43.81054263565891,19.12,76.88,6.84,42.68,5.12,844.84,4.0,39.0,5.0,16.0,55.0,129.0
3,veh_sd_light,0.0,0.0,0.0,0.0,1.7542857142857142,198.35777777777778,0.0,0.0,0.0,0.0,2.92,1461.36,0.0,0.0,0.0,0.0,7.0,36.0
4,lira_sd,6.018461538461538,21.269523809523808,6.215737704918033,28.79151515151515,1.5783783783783785,42.261886792452835,14.6,121.12,23.76,172.24,2.64,813.68,13.0,42.0,61.0,99.0,37.0,53.0
4,saline_lira,10.570434782608695,29.752131147540986,6.9682352941176475,36.46578947368421,1.9030985915492957,12.189019607843138,20.36,140.4,18.6,315.0,6.96,123.2,23.0,61.0,34.0,76.0,71.0,102.0
5,lira_sd,6.35,9.458333333333334,9.932631578947369,29.092231404958678,1.9689473684210526,16.17084112149533,13.36,31.2,38.24,216.24,4.88,132.2,12.0,48.0,38.0,121.0,76.0,107.0
5,saline_lira,8.4864,9.408932038834951,4.33,26.760689655172413,1.8141538461538462,18.884859813084113,26.48,50.92,5.68,224.12,4.04,515.68,25.0,103.0,4.0,116.0,65.0,107.0
7,lira_sd,4.327272727272727,10.105882352941176,9.44344827586207,29.426774193548386,2.395636363636364,7.885977011494252,7.68,69.16,81.64,214.4,10.2,121.64,11.0,34.0,58.0,124.0,165.0,174.0
7,saline_lira,4.996470588235294,11.697222222222221,5.836,42.006206896551724,2.024935064935065,29.448842105263157,12.12,55.28,15.0,233.68,6.04,904.44,34.0,72.0,10.0,58.0,77.0,95.0
8,dan_sd,5.173333333333334,19.098,9.937142857142856,7.1575,1.7072,90.02,15.92,141.48,37.4,28.56,3.48,1601.6,12.0,20.0,35.0,32.0,25.0,64.0
8,lira_sd,8.764444444444445,23.432727272727274,5.1175,13.887368421052631,1.8214141414141414,18.791182795698923,20.48,140.36,13.52,83.92,6.64,711.84,9.0,22.0,32.0,114.0,99.0,186.0
