"id","group","avg_bout_length_sec_drink","avg_bout_length_sec_food motivated","avg_bout_length_sec_groom","avg_bout_length_sec_move/explore","avg_bout_length_sec_move/explore - shelter","avg_bout_length_sec_rest/groom in shelter","max_bout_length_sec_drink","max_bout_length_sec_food motivated","max_bout_length_sec_groom","max_bout_length_sec_move/explore","max_bout_length_sec_move/explore - shelter","max_bout_length_sec_rest/groom in shelter","n_bouts_drink","n_bouts_food motivated","n_bouts_groom","n_bouts_move/explore","n_bouts_move/explore - shelter","n_bouts_rest/groom in shelter"
1,"fed",3.852,4.43,3.944,32.878275862069,2.07525423728814,16.4330303030303,6.4,19.12,9,200.96,8.12,210.68,10,12,20,116,118,132
2,"fed",6.46666666666667,4.54,13.7962711864407,10.7920588235294,1.87166666666667,13.9220588235294,15.56,5.12,267.56,71.24,8.64,417.28,24,2,118,136,48,136
3,"fed",3.26,12.1563636363636,6.18714285714286,67.2524324324324,1.755,6.12338461538461,4.24,33.08,15.12,335.68,5.64,89.12,4,11,28,74,88,130
4,"lira_sd",6.01846153846154,21.2695238095238,6.21573770491803,28.7915151515151,1.57837837837838,42.2618867924528,14.6,121.12,23.76,172.24,2.64,813.68,13,42,61,99,37,53
4,"saline_lira",10.5704347826087,29.752131147541,6.96823529411765,36.4657894736842,1.9030985915493,12.1890196078431,20.36,140.4,18.6,315,6.96,123.2,23,61,34,76,71,102
5,"lira_sd",6.35,9.45833333333333,9.93263157894737,29.0922314049587,1.96894736842105,16.1708411214953,13.36,31.2,38.24,216.24,4.88,132.2,12,48,38,121,76,107
5,"saline_lira",8.4864,9.40893203883495,4.33,26.7606896551724,1.81415384615385,18.8848598130841,26.48,50.92,5.68,224.12,4.04,515.68,25,103,4,116,65,107
7,"lira_sd",4.32727272727273,10.1058823529412,9.44344827586207,29.4267741935484,2.39563636363636,7.88597701149425,7.68,69.16,81.64,214.4,10.2,121.64,11,34,58,124,165,174
7,"saline_lira",4.99647058823529,11.6972222222222,5.836,42.0062068965517,2.02493506493507,29.4488421052632,12.12,55.28,15,233.68,6.04,904.44,34,72,10,58,77,95
8,"dan_sd",5.17333333333333,19.098,9.93714285714286,7.1575,1.7072,90.02,15.92,141.48,37.4,28.56,3.48,1601.6,12,20,35,32,25,64
8,"lira_sd",8.76444444444444,23.4327272727273,5.1175,13.8873684210526,1.82141414141414,18.7911827956989,20.48,140.36,13.52,83.92,6.64,711.84,9,22,32,114,99,186
8,"saline_lira",10.6088888888889,18.6055813953488,5.45130434782609,15.7265040650407,1.83036144578313,25.5618018018018,25.96,71.8,28.96,70.64,6.84,778.28,9,43,46,123,83,111
8,"veh_sd",7.20705882352941,15.3644444444444,9.40888888888889,48.3022727272727,1.72277777777778,12.8484444444444,12.76,89.16,89.6,234.16,8.4,116.32,17,45,36,88,72,90
9,"fed",12.6133333333333,11.2361538461538,3.44857142857143,8.5144,1.65205479452055,30.285549132948,20.24,64.88,6.24,64.68,4.44,1177.4,9,52,14,50,73,173
10,"fed",9.22666666666667,9.94153846153846,7.58729411764706,30.0227586206897,1.817,5.64255319148936,19.08,69.2,34.88,190.24,6.48,72.92,6,26,85,116,160,235
12,"fed",6.285,12.9390476190476,6.87746031746032,9.73662921348315,1.76647058823529,16.5695384615385,19.08,68.8,35.76,82.84,5.24,947,8,21,63,89,136,260
13,"fed",4.18,6.05,8.16483516483516,26.1147967479675,1.86281690140845,12.3752258064516,5.76,8.84,46.32,179.24,7.72,163.72,4,8,91,123,142,155
13,"lira_sd",4.4675,20.3823529411765,9.23495145631068,25.9250847457627,1.73714285714286,21.7744262295082,15.88,194.36,36.72,257.64,4.64,122.28,16,34,103,118,56,61
13,"saline_lira",5.094,11.87,4.51666666666667,64.7487719298246,1.61866666666667,27.0026666666667,10.48,81.76,16.16,277.04,3.52,149.24,20,84,12,57,45,60
20,"LiCl",8,12.3328,6.54039215686274,49.2853658536585,1.91818181818182,26.1988405797101,12.48,97.12,22.6,373.4,4,251.04,9,25,51,82,44,69
20,"saline_licl",4.95333333333333,21.0207407407407,6.60705882352941,68.7464705882353,1.59703703703704,25.1085714285714,10.6,55.44,19.96,532.12,3.4,240.08,24,27,17,68,27,49
23,"LiCl",5.05714285714286,18.6977777777778,3.36,10.1723076923077,1.87454545454545,49.2764227642276,8.96,80.32,5.84,34.6,4.08,1343.04,7,27,9,13,66,123
23,"fed",4.52,0,5.0630303030303,75.4081632653061,2.07659574468085,23.948813559322,9.12,0,15.44,262.48,10.92,685.16,7,0,33,49,47,118
23,"saline_licl",5.56307692307692,22.9544827586207,3.61714285714286,76.508,1.764,13.9733333333333,12.64,65.8,6.44,561.92,7.12,121.92,13,29,7,70,50,39
25,"fed",4.4,7.46411764705882,6.29021276595745,20.6711538461538,2.10507462686567,9.34709677419355,8.6,38.48,22.52,160.76,8.08,649.52,14,68,141,104,134,217
26,"LiCl",5.396,11.5638095238095,17.764,9.3175,1.87489361702128,51.3130909090909,8.92,76.68,82.56,39.84,5.44,1041.52,10,21,30,32,47,110
26,"fed",4.88727272727273,14.756,7.90060606060606,23.3403636363636,1.92181818181818,32.2464761904762,11.44,61.64,23.72,105.8,8.96,597.56,11,10,33,110,66,105
26,"saline_licl",4.95,22.1025,3.48,18.1545454545455,2.28084210526316,38.0727619047619,8.64,103.04,5,262.8,8.44,887.48,8,32,6,88,95,105
