id,Group,Total Distance (cm)
2784,orfo,26224.64348
1836,orfo,25402.48699
2785,orfo,19320.05392
1837,orfo,40374.31684
2782,orfo,32784.80557
2784,saline_orfo,27605.99197
1836,saline_orfo,17749.29788
2785,saline_orfo,15771.39161
1837,saline_orfo,38576.38086
2782,saline_orfo,23985.76455
253,dan,23510.98082
718,dan,7787.028656
786,dan,21490.5365
69,dan,15835.54739
287,dan,30409.0736
712,dan,12999.12327
8,dan,4340.921463
1006,dan,46668.43264
720,dan,7906.940232
1,fed,31690.10183
23,fed,27260.99116
9,fed,8392.447832
10,fed,29549.71225
24,fed,34281.57637
2,fed,13273.0379
13,fed,31290.24523
25,fed,23928.74773
3,fed,50738.47531
12,fed,13038.97392
26,fed,26893.74348
23,licl,5793.169772
27,licl,32881.37552
1710,licl,20577.36407
24,licl,13197.70958
1790,licl,7214.790592
20,licl,27750.94789
26,licl,5094.927524
1207,lira,15854.1614
1615,lira,7598.744746
7,lira,31601.25733
1208,lira,21016.6207
1613,lira,11042.14329
4,lira,24307.38829
8,lira,17586.27485
13,lira,29303.39483
5,lira,28212.5127
1788,orfo,25489.57462
1710,orfo,30502.72056
1789,orfo,36733.78672
1790,orfo,27141.41678
96,orfo,33609.88951
20,saline_licl,38331.80357
23,saline_licl,40616.06229
1710,saline_licl,31910.32842
24,saline_licl,12998.67582
1790,saline_licl,27174.10032
27,saline_licl,34840.43145
26,saline_licl,16973.12416
1788,saline_orfo,23238.36819
1710,saline_orfo,36374.32579
1789,saline_orfo,32779.37276
1790,saline_orfo,41057.71501
96,saline_orfo,36266.38957
1207,saline_lira,34007.10611
1615,saline_lira,13317.74074
7,saline_lira,24758.67107
1208,saline_lira,32234.60811
1613,saline_lira,34006.16743
4,saline_lira,28307.82726
8,saline_lira,20890.82841
13,saline_lira,40021.60731
5,saline_lira,29479.3858
253,veh,11203.55747
718,veh,22949.36695
786,veh,25893.59488
69,veh,28115.15227
287,veh,43038.48078
712,veh,28339.63729
8,veh,30702.1395
1006,veh,31990.46384
720,veh,29851.26503
