"Arena","ID","Sex","Treatment","Time_interval","Lickometer","Wheel_cycles","Food_nose_pokes","Genotype"
1,"253","M","Dan_SD","1hr",173,2224,51,"Homo"
1,"253","M","Dan_SD","2hr",88,2785,73,"Homo"
1,"253","M","Dan_SD","3hr",95,5372,34,"Homo"
1,"253","M","Dan_SD","4hr",103,5542,89,"Homo"
2,"69","M","Dan_SD","1hr",0,59,10,"Homo"
2,"69","M","Dan_SD","2hr",332,2741,56,"Homo"
2,"69","M","Dan_SD","3hr",725,4425,33,"Homo"
2,"69","M","Dan_SD","4hr",402,5102,29,"Homo"
3,"8","F","Dan_SD","1hr",98,2,15,"Homo"
3,"8","F","Dan_SD","2hr",129,0,7,"Homo"
3,"8","F","Dan_SD","3hr",0,0,20,"Homo"
3,"8","F","Dan_SD","4hr",1163,1855,36,"Homo"
4,"19","F","Dan_SD","1hr",57,10,70,"Homo"
4,"19","F","Dan_SD","2hr",41,4,44,"Homo"
4,"19","F","Dan_SD","3hr",67,818,18,"Homo"
4,"19","F","Dan_SD","4hr",315,3314,49,"Homo"
1,"718","M","Dan_SD","1hr",3,0,11,"Homo"
1,"718","M","Dan_SD","2hr",49,289,30,"Homo"
1,"718","M","Dan_SD","3hr",679,86,56,"Homo"
1,"718","M","Dan_SD","4hr",500,1757,36,"Homo"
2,"722","M","Dan_SD","1hr",0,159,5,"Homo"
2,"722","M","Dan_SD","2hr",0,0,10,"Homo"
2,"722","M","Dan_SD","3hr",0,0,1,"Homo"
2,"722","M","Dan_SD","4hr",374,7,39,"Homo"
3,"712","F","Dan_SD","1hr",2,441,8,"Homo"
3,"712","F","Dan_SD","2hr",0,204,32,"Homo"
3,"712","F","Dan_SD","3hr",502,1385,9,"Homo"
3,"712","F","Dan_SD","4hr",718,2064,55,"Homo"
4,"720","F","Dan_SD","1hr",258,493,18,"Homo"
4,"720","F","Dan_SD","2hr",0,0,45,"Homo"
4,"720","F","Dan_SD","3hr",318,3,54,"Homo"
4,"720","F","Dan_SD","4hr",411,0,25,"Homo"
1,"786","M","Dan_SD","1hr",10,2640,2,"Homo"
1,"786","M","Dan_SD","2hr",3,584,16,"Homo"
1,"786","M","Dan_SD","3hr",291,2005,5,"Homo"
1,"786","M","Dan_SD","4hr",805,2876,35,"Homo"
3,"287","F","Dan_SD","1hr",174,2016,33,"Homo"
3,"287","F","Dan_SD","2hr",300,2460,11,"Homo"
3,"287","F","Dan_SD","3hr",0,0,0,"Homo"
3,"287","F","Dan_SD","4hr",138,9,20,"Homo"
4,"1006","F","Dan_SD","1hr",788,3021,63,"Homo"
4,"1006","F","Dan_SD","2hr",744,4132,49,"Homo"
4,"1006","F","Dan_SD","3hr",583,2965,17,"Homo"
4,"1006","F","Dan_SD","4hr",515,4818,54,"Homo"
1,"253","M","Vehicle_SD","1hr",168,446,91,"Homo"
1,"253","M","Vehicle_SD","2hr",87,163,59,"Homo"
1,"253","M","Vehicle_SD","3hr",12,0,12,"Homo"
1,"253","M","Vehicle_SD","4hr",33,3,33,"Homo"
2,"69","M","Vehicle_SD","1hr",622,1268,82,"Homo"
2,"69","M","Vehicle_SD","2hr",549,3718,45,"Homo"
2,"69","M","Vehicle_SD","3hr",703,3797,17,"Homo"
2,"69","M","Vehicle_SD","4hr",475,3875,8,"Homo"
3,"8","F","Vehicle_SD","1hr",529,2406,43,"Homo"
3,"8","F","Vehicle_SD","2hr",371,3012,21,"Homo"
3,"8","F","Vehicle_SD","3hr",50,485,2,"Homo"
3,"8","F","Vehicle_SD","4hr",466,1981,55,"Homo"
4,"19","F","Vehicle_SD","1hr",99,13,74,"Homo"
4,"19","F","Vehicle_SD","2hr",39,0,57,"Homo"
4,"19","F","Vehicle_SD","3hr",15,0,3,"Homo"
4,"19","F","Vehicle_SD","4hr",213,5,67,"Homo"
1,"718","M","Vehicle_SD","1hr",297,117,89,"Homo"
1,"718","M","Vehicle_SD","2hr",691,3173,62,"Homo"
1,"718","M","Vehicle_SD","3hr",466,4267,43,"Homo"
1,"718","M","Vehicle_SD","4hr",615,3826,44,"Homo"
2,"722","M","Vehicle_SD","1hr",105,648,7,"Homo"
2,"722","M","Vehicle_SD","2hr",171,0,27,"Homo"
2,"722","M","Vehicle_SD","3hr",308,422,50,"Homo"
2,"722","M","Vehicle_SD","4hr",403,1577,69,"Homo"
3,"712","F","Vehicle_SD","1hr",755,2015,30,"Homo"
3,"712","F","Vehicle_SD","2hr",607,2442,61,"Homo"
3,"712","F","Vehicle_SD","3hr",563,1517,49,"Homo"
3,"712","F","Vehicle_SD","4hr",0,0,0,"Homo"
4,"720","F","Vehicle_SD","1hr",622,2132,31,"Homo"
4,"720","F","Vehicle_SD","2hr",594,2088,57,"Homo"
4,"720","F","Vehicle_SD","3hr",0,0,27,"Homo"
4,"720","F","Vehicle_SD","4hr",598,1341,68,"Homo"
